SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496277.5   NPRNTI= 5   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   259     2    3S1 3P2 8S1         (3)1( 4.0)   123232.5*
   260     2    3S1 3P2 6D1         (3)2( 7.0)   123261.2*
   261     2    3S1 3P2 7D1         (5)3(17.0)   123391.4*
   262     2    3S1 3P2 8P1         (3)0( 1.0)   123431.5*
   263     2    3S1 3P2 8P1         (5)2(12.0)   123463.8*
   264     2    3S1 3P2 7D1         (5)2(12.0)   123466.6*
   265     2    3S1 3P2 8P1         (5)0( 2.0)   123498.8*
   266     2    3S1 3P2 8P1         (5)1( 7.0)   123512.4*
   267     2    3S1 3P2 7D1         (5)1( 7.0)   123576.0*
   268     2    3S1 3P2 8P1         (3)2( 7.0)   123584.1*
   269     2    3S1 3P2 7D1         (3)1( 4.0)   123614.7*
   270     2    3S1 3P2 8P1         (3)1( 4.0)   123661.9*
   271     2    3S1 3P2 7D1         (3)3(10.0)   123777.2*
   272     2    3S1 3P2 7F1         (5)2(12.0)   123781.4*
   273     2    3S1 3P2 7F1         (3)2( 7.0)   123783.0*
   274     2    3S1 3P2 7G1         (5)5(27.0)   123784.8*
   275     2    3S1 3P2 7G1         (3)4(13.0)   123784.8*
   276     2    3S1 3P2 7G1         (3)5(16.0)   123784.8*
   277     2    3S1 3P2 7G1         (5)4(22.0)   123784.8*
   278     2    3S1 3P2 7G1         (3)3(10.0)   123784.8*
   279     2    3S1 3P2 7G1         (5)3(17.0)   123784.8*
   280     2    3S1 3P2 7F1         (5)4(22.0)   123790.5*
   281     2    3S1 3P2 7H1         (5)6(32.0)   123796.9*
   282     2    3S1 3P2 7H1         (3)5(16.0)   123796.9*
   283     2    3S1 3P2 7H1         (5)5(27.0)   123796.9*
   284     2    3S1 3P2 7H1         (3)4(13.0)   123796.9*
   285     2    3S1 3P2 7H1         (5)4(22.0)   123796.9*
   286     2    3S1 3P2 7H1         (3)6(19.0)   123796.9*
   287     2    3S1 3P2 7F1         (3)4(13.0)   123800.3*
   288     2    3S1 3P2 7I1         (5)7(37.0)   123802.3*
   289     2    3S1 3P2 7I1         (3)7(22.0)   123802.3*
   290     2    3S1 3P2 7I1         (3)6(19.0)   123802.3*
   291     2    3S1 3P2 7I1         (5)6(32.0)   123802.3*
   292     2    3S1 3P2 7I1         (3)5(16.0)   123802.3*
   293     2    3S1 3P2 7I1         (5)5(27.0)   123802.3*
   294     3    3S1 3P2 4P1         (3)2( 7.0)   123816.2*
   295     2    3S1 3P2 7F1         (5)3(17.0)   123831.8*
   296     2    3S1 3P2 7F1         (3)3(10.0)   123844.8*
   297     2    3S1 3P2 7D1         (3)2( 7.0)   123938.1*
   298     2    3S1 3P2 8D1         (5)3(17.0)   124061.4*
   299     2    3S1 3P2 8D1         (5)2(12.0)   124109.2*
   300     2    3S1 3P2 8D1         (5)1( 7.0)   124176.5*
   301     2    3S1 3P2 8D1         (3)1( 4.0)   124202.1*
   302     2    3S1 3P2 8D1         (3)3(10.0)   124304.7*
   303     2    3S1 3P2 8F1         (5)2(12.0)   124315.5*
   304     2    3S1 3P2 8F1         (3)2( 7.0)   124316.7*
   305     2    3S1 3P2 8G1         (5)5(27.0)   124317.9*
   306     2    3S1 3P2 8G1         (5)4(22.0)   124317.9*
   307     2    3S1 3P2 8G1         (3)5(16.0)   124317.9*
   308     2    3S1 3P2 8G1         (3)4(13.0)   124317.9*
   309     2    3S1 3P2 8G1         (3)3(10.0)   124317.9*
   310     2    3S1 3P2 8G1         (5)3(17.0)   124317.9*
   311     2    3S1 3P2 8F1         (5)4(22.0)   124321.4*
   312     2    3S1 3P2 8H1         (5)5(27.0)   124326.1*
   313     2    3S1 3P2 8H1         (5)6(32.0)   124326.1*
