SEQ='SI'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 114331065.6   NPRNTI= 5   NPRNTF=21
   --------------------
   INDP         CODE                 S L   WI        WNP
   282     1    3S2 3P1 8H1         (1)4( 4.0)   581346.6 
   283     1    3S2 3P1 8H1         (1)6( 6.0)   581346.6 
   284     1    3S2 3P1 8F1         (1)2( 2.0)   581363.3 
   285     1    3S2 3P1 8I1         (1)5( 5.0)   581391.1 
   286     1    3S2 3P1 8I1         (3)6(19.0)   581391.1 
   287     1    3S2 3P1 8I1         (1)7( 7.0)   581391.1 
   288     1    3S2 3P1 8I1         (3)7(22.0)   581391.1 
   289     1    3S2 3P1 8I1         (1)6( 6.0)   581391.1 
   290     1    3S2 3P1 8I1         (3)5(16.0)   581391.1 
   291     1    3S2 3P1 8J1         (3)8(25.0)   581413.9 
   292     1    3S2 3P1 8J1         (1)8( 8.0)   581413.9 
   293     1    3S2 3P1 8J1         (1)7( 7.0)   581413.9 
   294     1    3S2 3P1 8J1         (3)7(22.0)   581413.9 
   295     1    3S2 3P1 8J1         (1)6( 6.0)   581413.9 
   296     1    3S2 3P1 8J1         (3)6(19.0)   581413.9 
   297  9999    3S1 3P1 3D2         (3)3(10.0)   581740.6 
   298  9999    3S1 3P1 3D2         (3)1( 4.0)   581936.4 
   299     3    3S1 3P2 4F1         (1)2( 2.0)   582249.4 
   300     3    3S1 3P2 4F1         (1)5( 5.0)   582477.7 
   301     3    3S1 3P2 5S1         (3)2( 7.0)   585144.8 
   302     3    3S1 3P2 4F1         (3)1( 4.0)   585208.4 
   303     4    3S1 3P2 4D1         (3)2( 7.0)   585416.2 
   304  9999    3S1 3P1 3D2         (1)3( 3.0)   586605.2 
   305     6    3S2 3D1 4P1         (1)2( 2.0)   587242.5 
   306     3    3S1 3P2 4F1         (1)1( 1.0)   587490.0 
   307     4    3S1 3P2 4D1         (1)2( 2.0)   588224.4 
   308     3    3S1 3P2 5S1         (1)2( 2.0)   588624.8 
   309     6    3S2 3D1 4P1         (3)2( 7.0)   588795.9 
   310     6    3S2 3D1 4P1         (3)3(10.0)   589932.3 
   311  9999    3S1 3P1 3D2         (3)2( 7.0)   591956.8 
   312  9999    3S1 3P1 3D2         (1)2( 2.0)   592343.9 
   313     6    3S2 3D1 4P1         (3)1( 4.0)   593976.1 
   314  9999    3S1 3P1 3D2         (3)1( 4.0)   594303.0 
   315     2    3S1 3P2 5D1         (5)1( 7.0)   595547.9 
   316     2    3S1 3P2 5D1         (5)3(17.0)   595804.0 
   317     5    3S1 3P2 4D1         (1)1( 1.0)   596149.0 
   318     2    3S1 3P2 5D1         (3)1( 4.0)   596204.4 
   319     6    3S2 3D1 4P1         (1)3( 3.0)   596555.8 
   320     5    3S1 3P2 4D1         (3)3(10.0)   597282.0 
   321     5    3S1 3P2 4D1         (3)1( 4.0)   597446.8 
   322     2    3S1 3P2 5D1         (5)2(12.0)   597686.6 
   323     2    3S1 3P2 5D1         (3)3(10.0)   597855.4 
   324  9999    3S1 3P1 3D2         (1)0( 0.0)   598871.8 
   325     6    3S2 3D1 4P1         (1)1( 1.0)   599935.5 
   326     5    3S1 3P2 4D1         (1)3( 3.0)   600247.5 
   327     2    3S1 3P2 5D1         (3)2( 7.0)   600390.9 
   328     5    3S1 3P2 4D1         (3)2( 7.0)   600728.5 
   329  9999    3S1 3P1 3D2         (3)3(10.0)   600921.7 
   330     3    3S1 3P2 5P1         (3)2( 7.0)   602565.4 
   331     3    3S1 3P2 5P1         (3)3(10.0)   603692.0 
   332     3    3S1 3P2 5P1         (1)2( 2.0)   603828.2 
   333  9999    3S1 3P1 3D2         (3)2( 7.0)   605027.3 
   334     3    3S1 3P2 5P1         (1)3( 3.0)   605496.7 
   335     5    3S1 3P2 4D1         (1)2( 2.0)   605502.5 
   336     3    3S1 3P2 5P1         (3)1( 4.0)   606355.8 
   337     2    3S1 3P2 5F1         (5)4(22.0)   607586.5 
   338     3    3S1 3P2 5P1         (1)1( 1.0)   607750.5 
   339     2    3S1 3P2 5F1         (5)2(12.0)   608349.4 
   340     2    3S1 3P2 5F1         (3)2( 7.0)   609315.2 
   341     2    3S1 3P2 5F1         (5)3(17.0)   609716.4 
   342     9    3P3 4S1             (3)1( 4.0)   609968.4 
   343     2    3S1 3P2 5F1         (3)4(13.0)   610845.9 
   344     2    3S1 3P2 5G1         (5)5(27.0)   611966.1 
   345     2    3S1 3P2 5G1         (5)4(22.0)   611966.1 
   346     2    3S1 3P2 5G1         (3)5(16.0)   611966.1 
   347     2    3S1 3P2 5G1         (3)4(13.0)   611966.1 
   348     2    3S1 3P2 5G1         (3)3(10.0)   611966.1 
   349     2    3S1 3P2 5G1         (5)3(17.0)   611966.1 
   350     4    3S1 3P2 4F1         (3)3(10.0)   613151.0 
   351     2    3S1 3P2 6S1         (5)1( 7.0)   613275.3 
   352  9999    3S1 3P1 3D2         (3)1( 4.0)   613873.1 
   353     2    3S1 3P2 5F1         (3)3(10.0)   614023.9 
   354     4    3S1 3P2 4F1         (1)3( 3.0)   614975.9 
   355     2    3S1 3P2 6S1         (3)1( 4.0)   615593.1 
   356     9    3P3 4S1             (1)1( 1.0)   615938.1 
   357     7    3P3 4P1             (1)1( 1.0)   616562.3 
   358     7    3P3 4P1             (3)2( 7.0)   617248.8 
   359     4    3S1 3P2 5S1         (3)0( 1.0)   619159.3 
   360     7    3P3 4P1             (3)1( 4.0)   619866.6 
   361     2    3S1 3P2 6P1         (3)0( 1.0)   621947.6 
   362     2    3S1 3P2 6P1         (5)2(12.0)   622630.9 
   363     4    3S1 3P2 5S1         (1)0( 0.0)   622927.3 
   364     2    3S1 3P2 6P1         (5)0( 2.0)   622966.9 
   365     2    3S1 3P2 6P1         (5)1( 7.0)   623527.7 
   366     5    3S1 3P2 4F1         (3)4(13.0)   624139.3 
   367     2    3S1 3P2 6P1         (3)2( 7.0)   624557.0*
   368     5    3S1 3P2 4F1         (1)2( 2.0)   624839.6*
   369     5    3S1 3P2 4F1         (3)2( 7.0)   625122.0*
   370     2    3S1 3P2 6P1         (3)1( 4.0)   625927.5*
   371     5    3S1 3P2 4F1         (3)3(10.0)   628148.6*
   372     5    3S1 3P2 4F1         (1)4( 4.0)   628388.1*
   373     3    3S1 3P2 5D1         (3)3(10.0)   628604.2*
   374     3    3S1 3P2 5D1         (1)3( 3.0)   628929.5*
   375     3    3S1 3P2 5D1         (3)2( 7.0)   629037.7*
   376     3    3S1 3P2 5D1         (3)4(13.0)   630122.2*
   377     3    3S1 3P2 5D1         (1)2( 2.0)   630736.6*
   378     3    3S1 3P2 5D1         (1)4( 4.0)   631846.3*
   379     3    3S1 3P2 5D1         (3)1( 4.0)   631901.0*
   380     3    3S1 3P2 5D1         (1)1( 1.0)   632024.1*
   381     3    3S1 3P2 5D1         (3)0( 1.0)   632646.0*
