Total line luminosity    2.481E+36
    Fe V         4869.28   2.581E+28   7.307E-08
    Fe II        5273.42   2.577E+28   7.296E-08
    Fe II        5527.39   2.575E+28   7.291E-08
    Fe V         3871.43   2.553E+28   7.229E-08
    Fe I        15351.40   2.499E+28   7.075E-08
    Fe II        9399.14   2.445E+28   6.924E-08
    S  II        1812.09   2.443E+28   6.918E-08
    Fe IV        5798.81   2.432E+28   6.887E-08
    Fe IV        5800.33   2.398E+28   6.789E-08
    Fe V        21214.13   2.372E+28   6.717E-08
    Fe V         7467.78   2.358E+28   6.677E-08
    Ne IV        1599.74   2.338E+28   6.620E-08
    Fe IV        5032.50   2.260E+28   6.399E-08
    Fe III       2495.06   2.190E+28   6.201E-08
    S  II        1535.88   2.168E+28   6.138E-08
    Fe V         5785.86   2.140E+28   6.060E-08
    Fe IV        7192.44   2.138E+28   6.053E-08
    Fe IV        6734.48   2.133E+28   6.039E-08
    Fe V        20883.11   2.123E+28   6.010E-08
    Fe V         4647.23   2.103E+28   5.955E-08
    Si I        15871.57   2.050E+28   5.805E-08
    Fe III      28738.80   2.021E+28   5.724E-08
    Fe II        4889.68   1.974E+28   5.590E-08
    Fe III      27165.28   1.944E+28   5.505E-08
    Fe V         4868.21   1.910E+28   5.408E-08
    O  I         6300.30   1.907E+28   5.400E-08
    Fe V         3859.54   1.893E+28   5.359E-08
    Si I         2435.15   1.868E+28   5.289E-08
    Fe IV        4888.68   1.845E+28   5.223E-08
    Fe II        4814.58   1.844E+28   5.221E-08
    Fe II        4416.31   1.843E+28   5.218E-08
    Si I         3905.52   1.839E+28   5.207E-08
    Fe VII      29010.68   1.824E+28   5.165E-08
    Fe III       4070.75   1.809E+28   5.124E-08
    Fe II        5333.70   1.800E+28   5.097E-08
    Si I         2210.89   1.785E+28   5.054E-08
    Fe V         4498.95   1.767E+28   5.002E-08
    Fe III       8729.02   1.749E+28   4.951E-08
    Si I         2207.98   1.714E+28   4.854E-08
    Fe II        5376.51   1.696E+28   4.802E-08
    Fe III       8838.30   1.685E+28   4.772E-08
    Fe II       18114.09   1.684E+28   4.769E-08
    Fe III       4096.66   1.628E+28   4.608E-08
    Fe IV        5237.35   1.623E+28   4.594E-08
    Fe I        13672.29   1.616E+28   4.577E-08
    Fe V         4071.36   1.586E+28   4.491E-08
    Fe IV        6826.55   1.586E+28   4.490E-08
    Fe V         4921.15   1.579E+28   4.471E-08
    Fe V         5731.89   1.565E+28   4.431E-08
    Fe IV       27756.60   1.549E+28   4.385E-08
    S  II        1363.04   1.544E+28   4.372E-08
    Fe V        29010.68   1.538E+28   4.355E-08
    Fe IV        4866.22   1.499E+28   4.244E-08
    Fe IV        7925.09   1.396E+28   3.952E-08
    Fe IV        6756.05   1.373E+28   3.888E-08
    Fe IV        7036.32   1.366E+28   3.869E-08
    N  IV        1486.00   1.349E+28   3.819E-08
    Fe V        35876.59   1.322E+28   3.744E-08
    Fe IV        4869.06   1.283E+28   3.632E-08
    Fe IV        7171.03   1.282E+28   3.629E-08
    Fe V         6792.55   1.276E+28   3.613E-08
    Fe II        4244.01   1.271E+28   3.599E-08
    Si I         2218.06   1.268E+28   3.590E-08
    Fe I        14982.33   1.258E+28   3.561E-08
    Si I         1979.20   1.251E+28   3.542E-08
    N  III       1750.00   1.239E+28   3.508E-08
    Si I         2211.74   1.229E+28   3.480E-08
    Fe III       4985.92   1.222E+28   3.461E-08
    Fe IV       15070.12   1.163E+28   3.293E-08
    Si I         6589.61   1.159E+28   3.282E-08
    Fe I        14362.29   1.148E+28   3.251E-08
    Fe VI       28356.51   1.118E+28   3.166E-08
    Ne III       1814.56   1.109E+28   3.139E-08
    Fe II       22239.31   1.096E+28   3.102E-08
    Fe II        5111.67   1.067E+28   3.021E-08
    Fe III       4924.59   1.050E+28   2.972E-08
    Fe IV       11133.29   1.040E+28   2.945E-08
    Fe II        5412.70   1.040E+28   2.944E-08
    Fe V         3598.47   1.035E+28   2.930E-08
    Fe II       17484.38   1.029E+28   2.912E-08
    Fe III      77885.48   1.017E+28   2.880E-08
    Fe III      10882.66   9.966E+27   2.822E-08
    Si I         2987.64   9.955E+27   2.819E-08
    Fe V         5711.22   9.196E+27   2.604E-08
    Fe II        4457.99   9.188E+27   2.602E-08
    Fe II       20152.61   9.168E+27   2.596E-08
    Fe I        13729.26   9.158E+27   2.593E-08
    S  II        1203.87   9.115E+27   2.581E-08
    Fe V         3192.62   9.091E+27   2.574E-08
    Fe IV       10761.19   9.058E+27   2.565E-08
    Fe V        29101.89   9.033E+27   2.558E-08
    Fe II        4114.51   9.027E+27   2.556E-08
    Fe II        7733.23   8.840E+27   2.503E-08
    Fe II        4728.12   8.829E+27   2.500E-08
    Fe V        15432.32   8.693E+27   2.461E-08
    Fe IV        2570.17   8.623E+27   2.442E-08
    Fe IV        3933.53   8.477E+27   2.400E-08
    Ca V         6428.92   8.421E+27   2.384E-08
    Fe III       3428.83   8.278E+27   2.344E-08
    Fe V         5800.33   8.235E+27   2.332E-08
    Fe II        4905.39   8.219E+27   2.327E-08
    Fe IV        4902.03   8.209E+27   2.325E-08
    Fe IV        5911.07   8.200E+27   2.322E-08
    Fe V        19074.22   8.191E+27   2.319E-08
    Fe I        14616.16   8.005E+27   2.266E-08
    Fe V         4499.58   7.884E+27   2.232E-08
    Fe II        5433.20   7.867E+27   2.228E-08
    Fe III       9960.11   7.794E+27   2.207E-08
    Fe III      10608.18   7.677E+27   2.174E-08
    Fe II        5220.11   7.423E+27   2.102E-08
    Fe V        12016.93   7.231E+27   2.047E-08
    Fe II        6896.23   7.181E+27   2.033E-08
